House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
12,Upland Creek,Aaron,Jones,23,Head,Single,Male,Chief Marketing Officer,None,None
12,Upland Creek,Louise,Griffiths,50,None,Single,Female,Advertising account executive,None,None
12,Upland Creek,Grace,McDonald,29,None,Single,Female,Dentist,None,Christian
12,Upland Creek,Charles,Hall,32,None,Divorced,Male,"Social research officer, government",None,None
13,Upland Creek,Gerard,Ryan,36,Head,Married,Male,"Accountant, chartered certified",None,Methodist
13,Upland Creek,Claire,Ryan,28,Wife,Married,Female,Financial trader,None,Methodist
13,Upland Creek,Bruce,Bradley-Ryan,4,Son,NA,Male,Child,None,NA
13,Upland Creek,Stanley,Nash,30,Lodger,Single,Male,Television/film/video producer,None,None
13,Upland Creek,Rebecca,Sykes,25,Lodger,Single,Female,Broadcast presenter,None,None
14,Upland Creek,Howard,Wood,72,Head,Single,Male,Retired Sales executive,None,Catholic
15,Upland Creek,Grace,Ryan,29,Head,Divorced,Female,Broadcast presenter,None,None
15,Upland Creek,Maurice,Ryan,10,Son,NA,Male,Student,None,NA
16,Upland Creek,Shirley,Jones,54,Head,Married,Female,Colour technologist,None,Christian
16,Upland Creek,Toby,Jones,55,Husband,Married,Male,Sales promotion account executive,None,None
16,Upland Creek,Ian,Jones,29,Son,Divorced,Male,"Administrator, arts",None,None
17,Upland Creek,Josephine,Hudson,33,Head,Married,Female,"Presenter, broadcasting",None,None
17,Upland Creek,Glen,Hudson,31,Husband,Married,Male,Oncologist,None,None
17,Upland Creek,Lesley,Hudson,10,Daughter,NA,Female,Student,None,NA
17,Upland Creek,Megan,Hudson,7,Daughter,NA,Female,Student,None,NA
17,Upland Creek,Kim,Hudson,1,Daughter,NA,Female,Child,None,NA
18,Upland Creek,Kimberley,Wood,41,Head,Single,Female,Film/video editor,None,Catholic
18,Upland Creek,Iain,Harrison,39,Partner,Single,Male,Banker,None,Catholic
18,Upland Creek,Jade,Wood,14,Daughter,NA,Female,Student,None,NA
19,Upland Creek,Chloe,Browne,32,Head,Married,Female,Product/process development scientist,None,Catholic
19,Upland Creek,Edward,Browne,35,Husband,Married,Male,Lawyer,None,Catholic
20,Upland Creek,Mohamed,Lees,40,Head,Single,Male,Unemployed,None,None
20,Upland Creek,Joan,Lees,5,Daughter,NA,Female,Student,None,NA
20,Upland Creek,Wayne,Lees,1,Son,NA,Male,Child,None,NA
21,Upland Creek,Danielle,Woods,29,Head,Married,Female,"Therapist, sports",None,None
21,Upland Creek,Charlie,Woods,31,Husband,Married,Male,"Accountant, chartered",None,None
21,Upland Creek,Raymond,Woods,7,Adopted Son,NA,Male,Student,None,NA
21,Upland Creek,Conor,Woods,7,Son,NA,Male,Student,None,NA
22,Upland Creek,Katherine,Fowler,51,Head,Married,Female,Bonds trader,None,Methodist
22,Upland Creek,Dean,Fowler,49,Husband,Married,Male,Holiday representative,None,None
22,Upland Creek,Lynne,Fowler,26,Daughter,Single,Female,"Administrator, sports",None,Methodist
23,Upland Creek,Sylvia,French,26,Head,Married,Female,Accounting technician,None,Catholic
23,Upland Creek,Glenn,French,30,Husband,Married,Male,Furniture conservator/restorer,None,Catholic
23,Upland Creek,Yvonne,French,9,Daughter,NA,Female,Student,None,NA
24,Upland Creek,Barbara,Cooper,42,Head,Married,Female,Camera operator,None,Christian
24,Upland Creek,Arthur,Cooper,45,Husband,Married,Male,Records manager,None,None
24,Upland Creek,Hugh,Cooper,15,Son,NA,Male,Student,None,NA
25,Upland Creek,Tracey,Mistry,51,Head,Single,Female,Unemployed,None,Catholic
25,Upland Creek,Jessica,Mistry,12,Daughter,NA,Female,Student,None,NA
25,Upland Creek,Danny,Mistry,9,Son,NA,Male,Student,None,NA
25,Upland Creek,Pamela,Mistry,6,Daughter,NA,Female,Student,None,NA
26,Upland Creek,Olivia,Bevan,62,Head,Married,Female,Emergency planning/management officer,None,None
26,Upland Creek,Alan,Bevan,66,Husband,Married,Male,Interpreter,None,None
26,Upland Creek,Richard,Bevan,26,Son,Single,Male,Licensed conveyancer,None,None
26,Upland Creek,Maria,Bevan,8,Daughter,NA,Female,Student,None,NA
27,Upland Creek,Lynn,Collier,68,Head,Married,Female,Retired Trading standards officer,None,Christian
27,Upland Creek,Leigh,Collier,69,Husband,Married,Male,Retired Analytical chemist,None,Christian
28,Upland Creek,Shirley,Holmes,51,Head,Single,Female,Estate agent,None,Catholic
28,Upland Creek,Simon,Price,58,Partner,Single,Male,Occupational hygienist,None,Catholic
28,Upland Creek,John,Holmes,12,Son,NA,Male,Student,None,NA
28,Upland Creek,Ian,Holmes,8,Son,NA,Male,Student,None,NA
29,Upland Creek,Sylvia,White,56,Head,Married,Female,Health promotion specialist,None,None
29,Upland Creek,Marc,White,60,Husband,Married,Male,Chartered legal executive (England and Wales),None,None
29,Upland Creek,Brian,White,26,Son,Single,Male,"Engineer, production",None,None
30,Upland Creek,Heather,Cook,37,Head,Married,Female,Advertising account executive,None,Christian
30,Upland Creek,Philip,Cook,39,Husband,Married,Male,Quality manager,None,Christian
30,Upland Creek,Jenna,Cook,17,Daughter,NA,Female,Student,None,NA
31,Upland Creek,Teresa,Miles,18,Head,Single,Female,Student,None,NA
31,Upland Creek,Marc,Stevens,18,None,Single,Male,Student,None,NA
31,Upland Creek,Dorothy,Davies,19,None,Single,Female,University Student,None,None
32,Upland Creek,Brenda,Rees,75,Head,Widowed,Female,"Retired Lecturer, higher education",None,Methodist
33,Upland Creek,Katy,Wilkins,46,Head,Single,Female,Prison officer,None,None
33,Upland Creek,Jordan,Wilkins,11,Son,NA,Male,Student,None,NA
33,Upland Creek,Marilyn,Wilkins,9,Daughter,NA,Female,Student,None,NA
33,Upland Creek,Clive,Wilkins,6,Son,NA,Male,Student,None,NA
34,Upland Creek,Suzanne,Smith,32,Head,Single,Female,Museum/gallery curator,None,Christian
34,Upland Creek,Ross,Green,36,Partner,Single,Male,"Designer, blown glass/stained glass",None,Christian
34,Upland Creek,Laura,Dickinson,21,Lodger,Single,Female,University Student,None,Muslim
35,Upland Creek,Marie,Williams,34,Head,Married,Female,Data processing manager,None,Catholic
35,Upland Creek,Rosemary,Williams,33,Wife,Married,Female,Unemployed,None,None
35,Upland Creek,Judith,Williams,7,Daughter,NA,Female,Student,None,NA
36,Upland Creek,Chloe,Pearson,42,Head,Married,Female,Company secretary,None,Catholic
36,Upland Creek,Jamie,Pearson,51,Husband,Married,Male,"Nurse, learning disability",None,Catholic
36,Upland Creek,Bryan,Green-Pearson,9,Son,NA,Male,Student,None,NA
36,Upland Creek,Vincent,Green-Pearson,8,Son,NA,Male,Student,None,NA
37,Upland Creek,Linda,Sims,41,Head,Divorced,Female,Unemployed,None,None
37,Upland Creek,Clare,Sims,16,Daughter,NA,Female,Student,None,NA
37,Upland Creek,Caroline,Sims,9,Daughter,NA,Female,Student,None,NA
38,Upland Creek,Lindsey,Smith,37,Head,Married,Female,Ecologist,None,Catholic
38,Upland Creek,Denis,Smith,37,Husband,Married,Male,Midwife,None,None
38,Upland Creek,Mary,Smith,2,Daughter,NA,Female,Child,None,NA
39,Upland Creek,Jenna,Wilson,29,Head,Divorced,Female,"Engineer, petroleum",None,Catholic
39,Upland Creek,Donald,Wilson,0,Son,NA,Male,Child,None,NA
39,Upland Creek,Stewart,Storey,34,Lodger,Divorced,Male,Product designer,None,None
39,Upland Creek,Edward,Scott,26,Lodger,Single,Male,Investment analyst,None,None
40,Upland Creek,Lawrence,Reed,58,Head,Single,Male,Museum/gallery exhibitions officer,None,Jewish
40,Upland Creek,Mandy,Webb,49,None,Single,Female,"Surveyor, building control",None,Methodist
40,Upland Creek,Tracy,Gordon,33,None,Single,Female,Teaching laboratory technician,None,Catholic
40,Upland Creek,Marion,Lloyd,49,None,Single,Female,Fitness centre manager,None,Methodist
41,Upland Creek,Sally,Lambert,43,Head,Married,Female,Unemployed,None,Christian
41,Upland Creek,Liam,Lambert,47,Husband,Married,Male,Counsellor,None,Christian
41,Upland Creek,Cheryl,Lambert,2,Daughter,NA,Female,Child,None,NA
42,Upland Creek,Jessica,Gill,43,Head,Married,Female,"Administrator, local government",None,None
42,Upland Creek,Ryan,Gill,45,Husband,Married,Male,Facilities manager,None,None
42,Upland Creek,David,Gill,11,Son,NA,Male,Student,None,NA
43,Upland Creek,Chelsea,Harrison,29,Head,Single,Female,Technical brewer,None,None
43,Upland Creek,Sarah,Rogers,28,None,Single,Female,"Therapist, speech and language",None,Methodist
43,Upland Creek,Eleanor,Greenwood,56,None,Single,Female,"Doctor, general practice",None,None
44,Upland Creek,Suzanne,Turner,39,Head,Single,Female,"Lecturer, higher education",None,None
44,Upland Creek,Mohammad,Taylor,36,None,Single,Male,"Surveyor, commercial/residential",None,Christian
44,Upland Creek,Molly,Griffiths,47,None,Single,Female,Unemployed,None,None
44,Upland Creek,Karen,James,63,None,Single,Female,Mechanical engineer,None,Methodist
1,Holyroodbranch Avenue,Gillian,Lyons,27,Head,Single,Female,Clinical research associate,None,None
1,Holyroodbranch Avenue,Lewis,Warren,43,None,Single,Male,Trade mark attorney,None,None
1,Holyroodbranch Avenue,Benjamin,Martin,22,None,Single,Male,University Student,None,None
1,Holyroodbranch Avenue,Susan,Quinn,45,None,Single,Female,Geophysicist/field seismologist,None,Methodist
2,Holyroodbranch Avenue,Tracey,Turner,32,Head,Widowed,Female,Unemployed,None,None
2,Holyroodbranch Avenue,Sophie,Turner,4,Daughter,NA,Female,Child,None,NA
2,Holyroodbranch Avenue,Rosie,Turner,4,Daughter,NA,Female,Child,None,NA
3,Holyroodbranch Avenue,Gemma,Parsons,38,Head,Single,Female,"Doctor, general practice",None,Christian
3,Holyroodbranch Avenue,Bruce,Skinner,43,Partner,Single,Male,Osteopath,None,Christian
3,Holyroodbranch Avenue,Owen,Parsons,16,Son,NA,Male,Student,None,NA
4,Holyroodbranch Avenue,Amanda,Hughes,58,Head,Married,Female,Manufacturing engineer,None,Methodist
4,Holyroodbranch Avenue,Martyn,Hughes,55,Husband,Married,Male,Theme park manager,None,None
4,Holyroodbranch Avenue,Dean,Thomas-Hughes,27,Son,Single,Male,"Sales professional, IT",None,Methodist
4,Holyroodbranch Avenue,Kieran,Thomas-Hughes,7,Son,NA,Male,Student,None,NA
5,Holyroodbranch Avenue,Kimberley,Peters,76,Head,Widowed,Female,Retired Company secretary,None,Christian
5,Holyroodbranch Avenue,Kelly,Peters,36,Daughter,Single,Female,Food technologist,None,Christian
5,Holyroodbranch Avenue,Mark,Peters,29,Son,Divorced,Male,"Production assistant, television",None,Christian
5,Holyroodbranch Avenue,Alex,Peters,29,Son,Single,Male,"Loss adjuster, chartered",None,Christian
5,Holyroodbranch Avenue,Christopher,Peters,25,Son,Single,Male,Advice worker,None,None
6,Holyroodbranch Avenue,Joan,May,19,Head,Single,Female,University Student,None,Catholic
6,Holyroodbranch Avenue,Kirsty,Williams,21,None,Single,Female,University Student,None,Methodist
6,Holyroodbranch Avenue,Charles,Carter,23,None,Single,Male,PhD Student,None,None
7,Holyroodbranch Avenue,Joyce,Payne,35,Head,Married,Female,"Geologist, engineering",None,None
7,Holyroodbranch Avenue,Christian,Payne,37,Husband,Married,Male,Chartered legal executive (England and Wales),None,None
7,Holyroodbranch Avenue,Marc,Payne,5,Son,NA,Male,Student,None,NA
8,Holyroodbranch Avenue,Jamie,Boyle,46,Head,Single,Male,Cytogeneticist,None,Christian
8,Holyroodbranch Avenue,George,Graham,9,Son,NA,Male,Student,None,NA
8,Holyroodbranch Avenue,Yvonne,Harrison-Graham,6,Daughter,NA,Female,Student,None,NA
9,Holyroodbranch Avenue,Amy,Hancock,56,Head,Married,Female,Dance movement psychotherapist,None,Christian
9,Holyroodbranch Avenue,Jay,Hancock,58,Husband,Married,Male,Economist,None,Christian
9,Holyroodbranch Avenue,Simon,Hancock,31,Son,Single,Male,Lawyer,None,Christian
10,Holyroodbranch Avenue,Amanda,Hill,35,Head,Married,Female,Dramatherapist,None,None
10,Holyroodbranch Avenue,Peter,Hill,40,Husband,Married,Male,Actuary,None,None
10,Holyroodbranch Avenue,Mary,Hill,13,Daughter,NA,Female,Student,None,NA
11,Holyroodbranch Avenue,Katy,Young,51,Head,Single,Female,Television floor manager,None,Christian
12,Holyroodbranch Avenue,Phillip,Wade,44,Head,Single,Male,Make,None,Catholic
13,Holyroodbranch Avenue,Alison,Spencer,48,Head,Single,Female,Corporate treasurer,None,Catholic
13,Holyroodbranch Avenue,Arthur,Brown,51,Partner,Single,Male,Chartered certified accountant,None,Catholic
13,Holyroodbranch Avenue,Louise,Spencer,16,Daughter,NA,Female,Student,None,NA
14,Holyroodbranch Avenue,Gerard,Briggs,65,Head,Divorced,Male,"Engineer, land",None,Methodist
1,Edwards Station,Bruce,Wood,68,Head,Single,Male,Retired Theme park manager,None,Christian
1,Edwards Station,Beverley,Kaur,67,Partner,Single,Female,"Scientist, research (life sciences)",None,None
1,Edwards Station,Chelsea,Wood,36,Daughter,Single,Female,Associate Professor,None,Christian
1,Edwards Station,Callum,Wood,34,Son,Single,Male,Furniture designer,None,Christian
1,Edwards Station,Gary,Wood,33,Son,Single,Male,Building control surveyor,None,Christian
1,Edwards Station,Benjamin,Wood,32,Son,Single,Male,"Surveyor, minerals",None,Christian
1,Edwards Station,Guy,Wood,31,Son,Divorced,Male,"Surveyor, mining",None,Christian
1,Edwards Station,Leonard,Wood,28,Son,Single,Male,Chief Operating Officer,None,None
1,Edwards Station,Malcolm,Wood,25,Son,Single,Male,Equities trader,None,Christian
1,Edwards Station,Carolyn,Wood,23,Daughter,Single,Female,Press photographer,None,Christian
1,Edwards Station,Lee,Wood,20,Son,Single,Male,University Student,None,None
1,Edwards Station,Rachel,Wood,17,Daughter,NA,Female,Student,None,NA
1,Edwards Station,Graham,Wood,14,Son,NA,Male,Student,None,NA
1,Edwards Station,Pamela,Wood,11,Daughter,NA,Female,Student,None,NA
1,Edwards Station,Lynn,Wood,11,Daughter,NA,Female,Student,None,NA
1,Edwards Station,Jay,Wood,10,Son,NA,Male,Student,None,NA
1,Edwards Station,Adrian,Wood,9,Son,NA,Male,Student,None,NA
1,Edwards Station,Rebecca,Wood,5,Daughter,NA,Female,Student,None,NA
2,Edwards Station,Gemma,Phillips,43,Head,Married,Female,"Conservator, furniture",None,Christian
2,Edwards Station,Jeremy,Phillips,40,Husband,Married,Male,Financial controller,None,Christian
2,Edwards Station,Susan,Phillips,7,Daughter,NA,Female,Student,None,NA
2,Edwards Station,Holly,Phillips,5,Daughter,NA,Female,Student,None,NA
2,Edwards Station,Zoe,Phillips,4,Daughter,NA,Female,Child,None,NA
2,Edwards Station,Garry,Phillips,0,Son,NA,Male,Child,None,NA
2,Edwards Station,Lucy,Roberts,55,Lodger,Divorced,Female,"Scientist, clinical (histocompatibility and immunogenetics)",None,None
2,Edwards Station,Albert,Dodd,27,Lodger,Single,Male,Automotive engineer,None,Catholic
2,Edwards Station,Stacey,Wright,57,Lodger,Divorced,Female,"Editor, commissioning",None,None
3,Edwards Station,Jay,Myers,40,Head,Married,Male,Systems analyst,None,Christian
3,Edwards Station,Yvonne,Myers,37,Wife,Married,Female,Emergency planning/management officer,None,None
3,Edwards Station,Edward,Myers,1,Nephew,NA,Male,Child,None,NA
3,Edwards Station,Dawn,Morton,45,Lodger,Single,Female,"Production assistant, television",None,Christian
3,Edwards Station,Adrian,Johnson,64,Lodger,Single,Male,"Designer, fashion/clothing",None,Methodist
3,Edwards Station,Josh,Ahmed,63,Lodger,Single,Male,Accommodation manager,None,None
3,Edwards Station,Mathew,Smith,40,Visitor,Widowed,Male,Medical secretary,None,Christian
4,Edwards Station,Hilary,Thomas,74,Head,Married,Female,"Retired Surveyor, rural practice",None,Christian
4,Edwards Station,John,Thomas,76,Husband,Married,Male,"Retired Scientist, research (medical)",None,Christian
4,Edwards Station,Louise,Thomas,30,Daughter,Single,Female,Retail merchandiser,None,Christian
4,Edwards Station,Danielle,Thomas,27,Daughter,Single,Female,Occupational psychologist,None,None
4,Edwards Station,Vincent,Thomas,24,Son,Single,Male,Race relations officer,None,Christian
5,Edwards Station,Vanessa,Singh,37,Head,Single,Female,Unemployed,None,None
5,Edwards Station,Matthew,Singh,7,Son,NA,Male,Student,None,NA
5,Edwards Station,Victoria,Singh,4,Daughter,NA,Female,Child,None,NA
5,Edwards Station,Abbie,Dodd-Singh,2,Daughter,NA,Female,Child,None,NA
5,Edwards Station,Valerie,Phillips,61,Lodger,Divorced,Female,Energy engineer,None,Christian
6,Edwards Station,Holly,Haynes,38,Head,Married,Female,Industrial/product designer,None,Catholic
6,Edwards Station,Josh,Haynes,35,Husband,Married,Male,Barrister's clerk,None,None
6,Edwards Station,Joshua,Haynes,6,Son,NA,Male,Student,None,NA
6,Edwards Station,Stacey,Haynes,4,Daughter,NA,Female,Child,None,NA
6,Edwards Station,Charlotte,Haynes,3,Daughter,NA,Female,Child,None,NA
7,Edwards Station,Katy,Smith,47,Head,Married,Female,Neurosurgeon,None,Christian
7,Edwards Station,Connor,Smith,49,Husband,Married,Male,Public house manager,None,Christian
7,Edwards Station,Dennis,Smith,16,Son,NA,Male,Student,None,NA
7,Edwards Station,Clare,Smith,13,Daughter,NA,Female,Student,None,NA
7,Edwards Station,Philip,Smith,12,Son,NA,Male,Student,None,NA
8,Edwards Station,Teresa,Wall,46,Head,Single,Female,Unemployed,None,Catholic
8,Edwards Station,Mohamed,Wall,16,Son,NA,Male,Student,None,NA
8,Edwards Station,Benjamin,Winter-Wall,16,Son,NA,Male,Student,None,NA
8,Edwards Station,Leon,Hodgson-Winter-Wall,14,Son,NA,Male,Student,None,NA
8,Edwards Station,Max,Hodgson-Winter-Wall,14,Son,NA,Male,Student,None,NA
9,Edwards Station,Mandy,Wilson,68,Head,Widowed,Female,"Retired Research officer, government",None,Christian
9,Edwards Station,Victor,Wilson,35,Son,Single,Male,Occupational therapist,None,Christian
9,Edwards Station,Katherine,Wilson,33,Daughter,Single,Female,Mudlogger,None,Christian
9,Edwards Station,Abigail,Wilson,31,Daughter,Single,Female,Unemployed,None,None
9,Edwards Station,Ronald,Wilson,27,Son,Single,Male,IT sales professional,None,Christian
10,Edwards Station,Janet,West,30,Head,Married,Female,"Scientist, research (medical)",None,None
10,Edwards Station,Frank,West,32,Husband,Married,Male,Unemployed,None,None
10,Edwards Station,Nigel,West,8,Son,NA,Male,Student,None,NA
10,Edwards Station,Carl,West,5,Son,NA,Male,Student,None,NA
10,Edwards Station,Alex,Williams,21,Cousin,Single,Male,Leisure centre manager,None,Methodist
11,Edwards Station,Rebecca,Brown,42,Head,Divorced,Female,"Pharmacist, community",None,None
11,Edwards Station,Justin,Brown,17,Son,NA,Male,Student,None,NA
11,Edwards Station,Terence,Brown,16,Son,NA,Male,Student,None,NA
11,Edwards Station,Robert,Brown,12,Son,NA,Male,Student,None,NA
11,Edwards Station,Samantha,Brown,8,Daughter,NA,Female,Student,None,NA
11,Edwards Station,Danielle,Brown,8,Adopted Daughter,NA,Female,Student,None,NA
12,Edwards Station,Francesca,Leonard,49,Head,Divorced,Female,Rural practice surveyor,None,Christian
12,Edwards Station,Gerard,Leonard,14,Son,NA,Male,Student,None,NA
13,Edwards Station,Anna,Jones,44,Head,Married,Female,Theatre stage manager,None,Catholic
13,Edwards Station,Callum,Jones,43,Husband,Married,Male,Early years teacher,None,Catholic
13,Edwards Station,Paige,Jones,4,Daughter,NA,Female,Child,None,NA
13,Edwards Station,Scott,Jones,4,Son,NA,Male,Child,None,NA
13,Edwards Station,Paula,Baker,2,Daughter,NA,Female,Child,None,NA
14,Edwards Station,Abigail,King,42,Head,Married,Female,Theatre manager,None,Methodist
14,Edwards Station,Ashley,King,44,Husband,Married,Male,Ceramics designer,None,Methodist
14,Edwards Station,Gerald,King,17,Son,NA,Male,Student,None,NA
14,Edwards Station,Kayleigh,King,16,Daughter,NA,Female,Student,None,NA
14,Edwards Station,Frank,King,16,Son,NA,Male,Student,None,NA
15,Edwards Station,Emily,Barker,60,Head,Married,Female,"Programmer, multimedia",None,None
15,Edwards Station,Jonathan,Barker-Nolan,62,Husband,Married,Male,Occupational psychologist,None,None
15,Edwards Station,Brett,Barker-Nolan,21,Son,Divorced,Male,University Student,None,None
15,Edwards Station,Kayleigh,Barker-Nolan,19,Daughter,Divorced,Female,University Student,None,None
15,Edwards Station,Leon,Barker-Nolan,18,Son,Single,Male,Student,None,None
15,Edwards Station,Alison,Barker-Nolan,11,Daughter,NA,Female,Student,None,NA
15,Edwards Station,Grace,Barker-Nolan,7,Daughter,NA,Female,Student,None,NA
15,Edwards Station,Julia,Taylor,3,Daughter,NA,Female,Child,None,NA
15,Edwards Station,Deborah,Taylor,1,Daughter,NA,Female,Child,None,NA
15,Edwards Station,Margaret,Gough,47,Lodger,Divorced,Female,Magazine journalist,None,Methodist
15,Edwards Station,Katherine,Anderson,22,Visitor,Divorced,Female,University Student,None,Catholic
15,Edwards Station,Jenna,Green,25,Lodger,Single,Female,Set designer,None,None
16,Edwards Station,Sharon,Miles,50,Head,Married,Female,Museum/gallery conservator,None,Catholic
16,Edwards Station,Jay,Miles,46,Husband,Married,Male,"Designer, television/film set",None,Catholic
16,Edwards Station,Carol,Miles,13,Daughter,NA,Female,Student,None,NA
16,Edwards Station,Laura,Miles,13,Daughter,NA,Female,Student,None,NA
16,Edwards Station,Bethan,Miles,9,Daughter,NA,Female,Student,None,NA
16,Edwards Station,Lynn,Miles,6,Daughter,NA,Female,Student,None,NA
16,Edwards Station,Elliot,Miles,2,Son,NA,Male,Child,None,NA
16,Edwards Station,Gregory,Miles,1,Son,NA,Male,Child,None,NA
16,Edwards Station,Joyce,Miles,1,Daughter,NA,Female,Child,None,NA
16,Edwards Station,Jake,Field,55,Lodger,Single,Male,Senior tax professional/tax inspector,None,None
16,Edwards Station,Teresa,Martin,55,Lodger,Divorced,Female,Child psychotherapist,None,Christian
17,Edwards Station,Joanne,Kennedy,83,Head,Married,Female,Retired Tax inspector,None,None
17,Edwards Station,Malcolm,Kennedy,82,Husband,Married,Male,Retired Soil scientist,None,None
17,Edwards Station,Andrea,Ferguson,50,Daughter,Divorced,Female,Photographer,None,None
17,Edwards Station,Dominic,Ferguson,50,Son,Single,Male,Land,None,None
17,Edwards Station,Carolyn,Ferguson,46,Daughter,Divorced,Female,Sub,None,None
17,Edwards Station,Gordon,Ferguson,42,Son,Divorced,Male,"Engineer, civil (consulting)",None,None
17,Edwards Station,Paul,Ferguson,40,Son,Divorced,Male,Licensed conveyancer,None,None
17,Edwards Station,James,Ferguson,37,Son,Divorced,Male,Games developer,None,None
17,Edwards Station,Alison,Ferguson,33,Daughter,Single,Female,"Psychologist, sport and exercise",None,None
17,Edwards Station,Dennis,Ferguson,30,Son,Divorced,Male,Unemployed,None,None
17,Edwards Station,Shannon,Ferguson,24,Daughter,Divorced,Female,Psychiatric nurse,None,None
18,Edwards Station,Jamie,Smith,55,Head,Married,Male,Training and development officer,None,Christian
18,Edwards Station,Jennifer,Smith,53,Wife,Married,Female,Psychotherapist,None,Christian
18,Edwards Station,Carl,Smith,11,Grandson,NA,Male,Student,None,NA
18,Edwards Station,Glenn,Smith,7,Grandson,NA,Male,Student,None,NA
18,Edwards Station,Christian,Morris,2,Grandson,NA,Male,Child,None,NA
19,Edwards Station,Lorraine,Curtis,74,Head,Widowed,Female,"Retired Administrator, sports",None,Christian
19,Edwards Station,Toby,Curtis,42,Son,Single,Male,"Administrator, sports",None,Christian
19,Edwards Station,Gail,Curtis,34,Daughter,Divorced,Female,"Engineer, maintenance",None,None
19,Edwards Station,George,Curtis,33,Son,Single,Male,Insurance broker,None,Christian
19,Edwards Station,Sandra,Curtis,29,Daughter,Single,Female,"Conservation officer, historic buildings",None,None
19,Edwards Station,Jason,Curtis,25,Son,Single,Male,Chemical engineer,None,None
19,Edwards Station,Jeremy,Curtis,24,Son,Divorced,Male,Hospital doctor,None,None
20,Edwards Station,Kim,McCarthy,99,Head,Married,Female,Retired Technical brewer,None,Christian
20,Edwards Station,Clifford,McCarthy,105,Husband,Married,Male,Retired Financial manager,None,Christian
20,Edwards Station,Anthony,McCarthy,62,Son,Single,Male,Firefighter,None,None
20,Edwards Station,Edward,McCarthy,62,Son,Divorced,Male,Unemployed,None,Christian
20,Edwards Station,Caroline,McCarthy,62,Daughter,Single,Female,Arboriculturist,None,None
20,Edwards Station,Gavin,McCarthy,58,Son,Single,Male,Cartographer,None,Christian
20,Edwards Station,Darren,McCarthy,55,Son,Single,Male,"Presenter, broadcasting",None,Christian
20,Edwards Station,Laura,McCarthy,45,Daughter,Single,Female,"Production assistant, radio",None,Christian
20,Edwards Station,Christian,McCarthy,42,Son,Single,Male,Fitness centre manager,None,Christian
20,Edwards Station,Christian,McCarthy,39,Son,Single,Male,"Scientist, marine",None,None
